                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8141,                 5.3447,                 4.3028,                  7e-05,                0.02128,                  4e-05,                  1e-05,                 3.6561,                 5.7498,                 4.1599,                0.00058,                0.00058,                0.00058
                      2,                 3.5061,                  4.426,                 3.8367,                  5e-05,                0.01418,                  3e-05,                  1e-05,                 3.6835,                 5.0403,                 4.2169,              0.0011216,              0.0011216,              0.0011216
                      3,                 3.1751,                 3.7667,                 3.2832,                  5e-05,                0.00709,                  3e-05,                  1e-05,                 3.7293,                 5.1094,                 4.3596,              0.0016038,              0.0016038,              0.0016038
                      4,                 2.7866,                 3.3865,                 3.0376,                 0.1967,                0.06383,                0.05958,                0.01681,                 2.7807,                 3.8595,                 3.4482,               0.001703,               0.001703,               0.001703
                      5,                 2.5892,                 2.8651,                 2.7768,                0.11979,                 0.0922,                0.07578,                0.02275,                 2.6115,                 3.8105,                  2.846,               0.001703,               0.001703,               0.001703
                      6,                 2.4139,                 2.5488,                  2.579,                0.42228,                0.30586,                0.28538,                0.11101,                 2.2185,                 2.8168,                 2.5551,               0.001604,               0.001604,               0.001604
                      7,                 2.2788,                 2.2383,                 2.3975,                0.37163,                0.46809,                0.36989,                0.16319,                 2.0975,                 2.3695,                 2.4903,               0.001505,               0.001505,               0.001505
                      8,                 2.1011,                 2.0644,                 2.3171,                0.56231,                0.32624,                0.39633,                0.18002,                 2.0194,                 2.8024,                 2.4967,               0.001406,               0.001406,               0.001406
                      9,                 2.0859,                 1.9507,                 2.2861,                 0.6508,                0.50355,                0.55743,                  0.248,                 1.9737,                 2.0399,                 2.3217,               0.001307,               0.001307,               0.001307
                     10,                 2.0232,                 1.8391,                 2.2299,                0.60667,                0.63121,                0.58414,                0.26169,                 1.8022,                 2.0229,                 2.2095,               0.001208,               0.001208,               0.001208
                     11,                 1.8159,                 1.7962,                 2.1692,                0.71675,                0.69993,                0.70344,                0.34669,                 1.7535,                  1.769,                 2.0961,               0.001109,               0.001109,               0.001109
                     12,                 1.8272,                 1.7082,                 2.1536,                0.75741,                0.75286,                0.75775,                0.38406,                 1.8025,                 1.6092,                  2.146,                0.00101,                0.00101,                0.00101
                     13,                 1.7053,                 1.5893,                 2.0667,                0.72149,                0.62466,                0.70198,                0.38435,                 1.6979,                 1.6647,                 2.0676,               0.000911,               0.000911,               0.000911
                     14,                 1.6853,                 1.5408,                 2.0583,                0.81698,                 0.7234,                0.78599,                0.41039,                 1.7055,                 1.4428,                 2.0758,               0.000812,               0.000812,               0.000812
                     15,                 1.6273,                 1.4609,                 1.9722,                   0.84,                0.70745,                0.75827,                0.41944,                 1.5432,                 1.5818,                 1.9708,               0.000713,               0.000713,               0.000713
                     16,                 1.5715,                 1.3739,                 1.9327,                0.85109,                0.77019,                0.79914,                0.43996,                 1.5859,                 1.3588,                 1.9477,               0.000614,               0.000614,               0.000614
                     17,                 1.6023,                 1.3932,                   1.96,                0.82474,                0.76763,                0.80298,                0.43157,                 1.5816,                 1.3707,                 1.9388,               0.000515,               0.000515,               0.000515
                     18,                 1.5735,                 1.3395,                 1.9095,                0.79383,                 0.7646,                0.81525,                0.47682,                 1.4884,                 1.3978,                 1.8701,               0.000416,               0.000416,               0.000416
                     19,                 1.4936,                 1.2901,                 1.8647,                0.82567,                0.77305,                0.81211,                0.46944,                 1.4643,                 1.3384,                 1.8465,               0.000317,               0.000317,               0.000317
                     20,                 1.4724,                 1.2592,                 1.8287,                0.87707,                0.75899,                0.83641,                0.49657,                 1.4522,                 1.2468,                 1.8447,               0.000218,               0.000218,               0.000218
